date,tid,open,high,low,close,volume,mid,range,fac0,avg,s3,s7,s14,s21,s35,s49,s75,s100,s150,s200,s300,s400,s500,s600,s800,s1000,s1500,s2000,s3000,ma_close,ub,lb
2022-11-01/15:00:00,1,2952.9314,2969.1995,2951.4188,2969.1995,4855300800,2960.30915,17.7807,278.415638,347.48913,1714.268131,1122.251924,793.5519459,647.9324506,501.8863181,424.1713571,342.8536261,296.91995,242.434124,209.9541101,171.4268131,148.459975,132.7866384,121.217062,104.9770551,93.89433247,76.66440143,66.39331921,54.20991813,2957.035461,147.257218,-203.027227
2022-11-01/14:30:00,1,2933.3736,2953.266,2932.7164,2953.069,3380716300,2942.9912,20.5496,267.54646,314.296751,1704.955182,1116.155168,789.2408884,644.4124869,499.159766,421.867,340.9910364,295.3069,241.1170742,208.8135115,170.4955182,147.65345,132.0652605,120.5585371,104.4067558,93.38424128,76.24791371,66.03263026,53.91541684,2957.703782,140.8748,-203.027227
2022-11-01/14:00:00,1,2921.9432,2936.975,2919.4081,2933.4914,2634600500,2928.19155,17.5669,211.00403,229.633743,1693.652049,1108.755531,784.0085547,640.1403043,495.8505476,419.0702,338.7304099,293.34914,239.5185698,207.4291661,169.3652049,146.67457,131.1897236,119.7592849,103.7145831,92.76514321,75.74242226,65.59486182,53.5579804,2958.938019,136.264926,-203.027227
2022-11-01/13:30:00,1,2918.7613,2931.8876,2915.8443,2921.9138,2890695400,2923.86595,16.0433,-186.116151,197.91637,1686.967719,1104.37961,780.9143109,637.6138649,493.893576,417.4162571,337.3935438,292.19138,238.5732627,206.6105062,168.6967719,146.09569,130.6719576,119.2866314,103.3052531,92.39902735,75.44348991,65.33597881,53.34660331,2960.540033,133.432738,-203.027227
2022-11-01/11:30:00,1,2931.7644,2932.2974,2917.8533,2918.2784,2273248400,2925.07535,14.4441,-244.368975,266.539724,1684.86882,1103.005558,779.9427094,636.8205556,493.2790812,416.8969143,336.973764,291.82784,238.2764336,206.3534446,168.486882,145.91392,130.5093776,119.1382168,103.1767223,92.2840659,75.34962429,65.2546888,53.28023029,2962.261437,129.998568,-203.027227
2022-11-01/11:00:00,1,2933.4203,2946.1409,2931.8038,2931.8038,3644060100,2938.97235,14.3371,284.663198,341.384,1692.677713,1108.117678,783.5575246,639.7720398,495.5652911,418.8291143,338.5355426,293.18038,239.3807779,207.3098348,169.2677713,146.59019,131.1142519,119.6903889,103.6549174,92.71177661,75.69884861,65.55712593,53.52716918,2963.82109,124.292497,-203.027227
2022-11-01/10:30:00,1,2907.6888,2933.4676,2907.6888,2933.4676,4666101200,2920.5782,25.7788,277.580184,309.879286,1693.638309,1108.746536,784.0021939,640.1351107,495.8465246,419.0668,338.7276617,293.34676,239.5166266,207.4274832,169.3638309,146.67338,131.1886593,119.7583133,103.7137416,92.76439058,75.74180774,65.59432963,53.55754587,2965.520793,117.878609,-203.027227
2022-11-01/10:00:00,1,2899.4985,2915.6733,2896.7572,2907.282,7636235100,2906.21525,18.9161,244.417434,132.509636,1678.520045,1098.849309,777.0037979,634.4209444,491.4203504,415.326,335.7040091,290.7282,237.3785813,205.5758817,167.8520045,145.3641,130.0176036,118.6892906,102.7879409,91.9363292,75.06569846,65.00880182,53.07946441,2967.810485,114.712183,-203.027227
2022-10-31/15:00:00,1,2894.2647,2894.5372,2887.0758,2893.4829,3261766700,2890.8065,7.4614,-147.660411,-260.359352,1670.553131,1093.633739,773.3158333,631.4097339,489.0878768,413.3547,334.1106262,289.34829,236.2518895,204.600138,167.0553131,144.674145,129.4004891,118.1259447,102.300069,91.49996335,74.70940723,64.70024456,52.82752847,2970.643561,132.46395,-203.027227
2022-10-31/14:30:00,1,2895.5692,2896.8006,2886.3278,2893.7319,2393059900,2891.5642,10.4728,-216.362167,-285.087251,1670.696891,1093.727853,773.3823814,631.4640701,489.1299655,413.3902714,334.1393783,289.37319,236.2722202,204.6177449,167.0696891,144.686595,129.4116247,118.1361101,102.3088725,91.50783742,74.71583638,64.70581237,52.83207457,2973.78547,132.46395,-200.427084
